timestamp,address,addr_type,rssi,name,status,service_uuid,service_name,char_uuid,char_name,properties,value_hex
367485,C4:1E:06:8F:96:B9,1,-66,"Galaxy Buds3 Pro (6B44) LE",discover_timeout,,,,,,
371551,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1801,"Generic Attribute",2A05,"",0x20,
371605,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1801,"Generic Attribute",2B3A,"",0x02,01
371658,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1801,"Generic Attribute",2B29,"",0x0A,00
371719,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1801,"Generic Attribute",2B2A,"",0x02,64943D58BF9326BEFE00279FD3B3F9BC
371776,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1800,"Generic Access",2A00,"Device Name",0x02,53323620556C747261206465204C756361
371832,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1800,"Generic Access",2A01,"Appearance",0x02,0000
371886,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1800,"Generic Access",2AA6,"",0x02,01
371939,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1849,"",2B93,"",0x12,
371941,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1849,"",2B96,"",0x10,
371997,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1849,"",2B97,"",0x12,
372049,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1849,"",2B98,"",0x12,
372105,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1849,"",2B99,"",0x1E,
372158,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1849,"",2B9A,"",0x1E,
372216,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1849,"",2B9B,"",0x12,
372270,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1849,"",2BA1,"",0x1E,
372323,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1849,"",2BA2,"",0x02,
372375,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1849,"",2BA3,"",0x12,
372376,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1849,"",2BA4,"",0x1C,
372429,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1849,"",2BA5,"",0x12,
372483,1D:C5:9B:CA:B7:A0,1,-75,"",ok,1849,"",2BBA,"",0x02,
