destino	origem	veredito	botoes_origem	botoes_destino	so_origem	so_destino	mesmo_nome_dado_diferente
sd_card_content/ir_extra_dbs/ACs/Black_and_Decker/Portable.ir	sd_card_content/universal_ir/assets/ACs/Black_and_Decker/Portable.ir	DIVERGENTE	9	9	Off	PWR OFF	
sd_card_content/ir_extra_dbs/ACs/Carrier/Carrier_orlen_ac.ir	sd_card_content/universal_ir/assets/ACs/Carrier/Carrier_orlen_ac.ir	CONTEUDO_EQUIVALENTE	6	6			
sd_card_content/ir_extra_dbs/ACs/DeLonghi/Pinguino_PAC_EL92_SILENT.ir	sd_card_content/universal_ir/assets/ACs/DeLonghi/Pinguino_PAC_EL92_SILENT.ir	DEST_SUPERSET	7	8		Swing	
sd_card_content/ir_extra_dbs/ACs/Electrolux/Electrol_ESV09CRO_B2I.ir	sd_card_content/universal_ir/assets/ACs/Electrolux/Electrol_ESV09CRO_B2I.ir	DIVERGENTE	17	17	Off	POWER_OFF	
sd_card_content/ir_extra_dbs/ACs/LG/LG_AC_2.ir	sd_card_content/universal_ir/assets/ACs/LG/LG_AC_2.ir	CONTEUDO_EQUIVALENTE	2	2			
sd_card_content/ir_extra_dbs/ACs/LG/LG_COV30332906_AC.ir	sd_card_content/universal_ir/assets/ACs/LG/LG_COV30332906_AC.ir	CONTEUDO_EQUIVALENTE	11	11			
sd_card_content/ir_extra_dbs/ACs/LG/LG_LP1419IVSM.ir	sd_card_content/universal_ir/assets/ACs/LG/LG_LP1419IVSM.ir	DIVERGENTE	10	10	Off	POWER_OFF	
sd_card_content/ir_extra_dbs/ACs/LG/LG_R12AWN-NB11.ir	sd_card_content/universal_ir/assets/ACs/LG/LG_R12AWN-NB11.ir	CONTEUDO_EQUIVALENTE	2	2			
sd_card_content/ir_extra_dbs/ACs/LG/LG_SX122CL.ir	sd_card_content/universal_ir/assets/ACs/LG/LG_SX122CL.ir	CONTEUDO_EQUIVALENTE	11	11			
sd_card_content/ir_extra_dbs/ACs/Lennox/Lennox_AC.ir	sd_card_content/universal_ir/assets/ACs/Lennox/Lennox_AC.ir	DIVERGENTE	14	16			SLEEP;SWING
sd_card_content/ir_extra_dbs/ACs/Midea/Midea_AC_MAW05R1WBL.ir	sd_card_content/universal_ir/assets/ACs/Midea/Midea_AC_MAW05R1WBL.ir	CONTEUDO_EQUIVALENTE	12	12			
sd_card_content/ir_extra_dbs/ACs/Midea/Midea_WWK08CR81N.ir	sd_card_content/universal_ir/assets/ACs/Midea/Midea_WWK08CR81N.ir	CONTEUDO_EQUIVALENTE	10	10			
sd_card_content/ir_extra_dbs/ACs/Midea/Midea_silent_cool_26_pro.ir	sd_card_content/universal_ir/assets/ACs/Midea/Midea_silent_cool_26_pro.ir	CONTEUDO_EQUIVALENTE	11	11			
sd_card_content/ir_extra_dbs/ACs/Panasonic/Panasonic_A75C4187.ir	sd_card_content/universal_ir/assets/ACs/Panasonic/Panasonic_A75C4187.ir	CONTEUDO_EQUIVALENTE	9	9			
sd_card_content/ir_extra_dbs/ACs/Panasonic/Panasonic_CWA75C4179.ir	sd_card_content/universal_ir/assets/ACs/Panasonic/Panasonic_CWA75C4179.ir	DIVERGENTE	13	13	Off	POWER_OFF	
sd_card_content/ir_extra_dbs/ACs/Panasonic/Panasonic_Climate_A75C2600.ir	sd_card_content/universal_ir/assets/ACs/Panasonic/Panasonic_Climate_A75C2600.ir	CONTEUDO_EQUIVALENTE	7	7			
